inventor_id,name,country
fl:we_ln:jiang-149,Wenjing Jiang,Unknown
fl:ei_ln:baumker-1,Eiko BÄUMKER,Unknown
fl:ri_ln:kroeger-1,Richard Kroeger,Unknown
fl:th_ln:bush-1,Thomas A. Bush,Unknown
fl:ma_ln:boudreaux-4,Matthew F. Boudreaux,Unknown
fl:ge_ln:whitworth-1,Gerald Whitworth,Unknown
fl:ro_ln:egnatchik-1,Robert Egnatchik,Unknown
fl:th_ln:fleming-4,Thomas W. Fleming,Unknown
fl:du_ln:moon-7,Duck Su Moon,Unknown
fl:sa_ln:woods-2,Samuel G. Woods,Unknown
fl:ta_ln:hosoda-4,Takuya Hosoda,Unknown
fl:ev_ln:mudrane-1,Eva K. Mudráné,Unknown
0000n8nqsxhrztn7djlxou00k,Muamer Zukic,Unknown
fl:do_ln:angelosanto-1,Donald J. Angelosanto,Unknown
fl:ba_ln:james-7,Barry James,Unknown
fl:le_ln:neitzel-1,Lee Allen Neitzel,Unknown
fl:ja_ln:files-4,Jace W. Files,Unknown
fl:st_ln:parkvall-1,Stefan Parkvall,Unknown
fl:ja_ln:feine-1,James Feine,Unknown
fl:ch_ln:gaal-1,Christopher Gaal,Unknown
fl:mo_ln:narasaiah-1,Mohan Narasaiah,Unknown
fl:hi_ln:takeuchi-38,Hiroto Takeuchi,Unknown
fl:ch_ln:liu-1364,Chaopeng Liu,Unknown
fl:jo_ln:jung-23,Joon-Young Jung,Unknown
fl:br_ln:carette-2,Brigitte Carette,Unknown
fl:mi_ln:artinger-1,Michael A. Artinger,Unknown
fl:ed_ln:zizminskas-1,Edvinas ZIZMINSKAS,Unknown
fl:je_ln:bouchet-6,Jean Bouchet,Unknown
fl:te_ln:kaneko-13,Tetsuya Kaneko,Unknown
fl:an_ln:ferreol-1,Anne Ferreol,Unknown
fl:mi_ln:rector-1,Mindy Dawn Rector,Unknown
fl:jo_ln:matta-2,Joseph E. Matta,Unknown
fl:hi_ln:tanada-3,Hiroki Tanada,Unknown
fl:br_ln:brinson-2,Brad D. Brinson,Unknown
fl:se_ln:kwon-63,Se-Ah Kwon,Unknown
fl:no_ln:kunze-1,Norbert Kunze,Unknown
fl:al_ln:bulla-1,Alexandre Bulla,Unknown
fl:vi_ln:benatti-1,Vincenzo Benatti,Unknown
fl:xu_ln:dong-44,Xue Dong,Unknown
fl:ju_ln:hirooka-2,Junji Hirooka,Unknown
fl:si_ln:chawla-1,Sidakpreet Singh Chawla,Unknown
fl:yu_ln:kawamoto-8,Yuka Kawamoto,Unknown
fl:fe_ln:wang-74,Feng Wang,Unknown
fl:da_ln:cvoric-1,Dalibor Cvoric,Unknown
fl:sa_ln:teramoto-3,Satoshi Teramoto,Unknown
fl:ha_ln:andersson-10,Hans Andersson,Unknown
fl:ka_ln:yamamoto-53,Katsutoshi Yamamoto,Unknown
fl:wa_ln:feghali-3,Wajdi K. Feghali,Unknown
fl:ev_ln:seevinck-1,Evert Seevinck,Unknown
fl:ma_ln:marshall-19,Mary C. Marshall,Unknown
fl:sa_ln:smith-31,Samuel Melvin Smith,Unknown
fl:yo_ln:fujii-6,Yosuke Fujii,Unknown
fl:mu_ln:ishikawa-1,Muriel Y. Ishikawa,Unknown
fl:pe_ln:marbach-1,Peter Marbach,Unknown
fl:br_ln:fox-20,Brian G. Fox,Unknown
fl:pa_ln:iannone-2,Patrick P. Iannone,Unknown
fl:zh_ln:sun-147,Zhaohui Sun,Unknown
fl:ch_ln:liang-43,Chun-Sheng Liang,Unknown
fl:to_ln:yoshizawa-16,Toshio Yoshizawa,Unknown
fl:ru_ln:schickfluss-1,Rudolf Schickfluss,Unknown
fl:mi_ln:ignatieu-1,Mikhail Ignatieu,Unknown
fl:su_ln:hiyama-1,Susumu Hiyama,Unknown
fl:ka_ln:virtanen-3,Kari Virtanen,Unknown
fl:mi_ln:mursch-1,Michael Mursch,Unknown
0004z0eq002iqz3t9ecx7l5ml,Paul Barberi,Unknown
fl:aj_ln:luthra-1,Ajay Luthra,Unknown
fl:ch_ln:vigild-1,Christian Winge Vigild,Unknown
fl:jo_ln:edwards-71,Joshua Edwards,Unknown
fl:th_ln:tellinghuisen-1,Thomas J. Tellinghuisen,Unknown
fl:ro_ln:colwill-2,Robert Jerome Colwill,Unknown
fl:ri_ln:holub-1,Richard A. Holub,Unknown
fl:st_ln:stewart-19,Stephen Stewart,Unknown
fl:sc_ln:myers-6,Scott A. Myers,Unknown
fl:bj_ln:gunderson-2,Bjorn Gunderson,Unknown
fl:hi_ln:kozai-2,Hiroaki Kozai,Unknown
fl:st_ln:hirsch-3,Steven B. Hirsch,Unknown
fl:ma_ln:abdelrahman-2,Mahmoud F. Abdel-Rahman,Unknown
fl:ye_ln:wu-47,Yejun Wu,Unknown
fl:cy_ln:shovary-1,Cynthia Ann Shovary,Unknown
fl:jo_ln:ellenberger-2,Jonathan Ellenberger,Unknown
fl:pr_ln:fick-1,Preston Fick,Unknown
fl:ja_ln:schukat-1,Jan Schukat,Unknown
fl:ne_ln:harris-4,Neil Victor Harris,Unknown
fl:fa_ln:barbier-1,Fabrice Barbier,Unknown
fl:na_ln:kumagai-1,Naoyuki Kumagai,Unknown
fl:da_ln:garrett-17,Danny Garrett,Unknown
fl:an_ln:schulz-5,Anatol Schulz,Unknown
fl:xu_ln:bian-8,Xuqi Bian,Unknown
fl:wa_ln:chen-41,Wan-Chun Chen,Unknown
fl:ca_ln:zimmerman-4,Carey W. Zimmerman,Unknown
fl:ja_ln:cassoli-2,Jair CASSOLI,Unknown
fl:ke_ln:belyk-1,Kevin M. Belyk,Unknown
fl:ro_ln:benkar-1,Rohan Benkar,Unknown
fl:jo_ln:sporn-2,Joseph S. Sporn,Unknown
fl:ta_ln:chuman-2,Takashi Chuman,Unknown
fl:je_ln:powers-14,Jeffrey E. Powers,Unknown
fl:ke_ln:thompson-23,Kenneth O. Thompson,Unknown
fl:sh_ln:iwama-7,Shinichi Iwama,Unknown
fl:em_ln:sallard-1,Emmanuelle Sallard,Unknown
fl:se_ln:taffler-1,Sean Taffler,Unknown
fl:ma_ln:awad-4,Mariette Awad,Unknown
fl:je_ln:schmidt-12,Jeffrey C. Schmidt,Unknown
fl:cr_ln:noeldner-1,Craig Andrew Noeldner,Unknown
fl:er_ln:berger-4,Eric L. Berger,Unknown
fl:sc_ln:elwood-1,Scott H. Elwood,Unknown
fl:ja_ln:hovis-1,James E. Hovis,Unknown
fl:my_ln:hunukumbure-1,Mythri HUNUKUMBURE,Unknown
fl:er_ln:urdang-1,Erik G. Urdang,Unknown
fl:de_ln:kurschner-2,Dennis L. Kurschner,Unknown
fl:da_ln:yu-49,Daniel Yu,Unknown
fl:mo_ln:sawada-1,Motoshi Sawada,Unknown
fl:sa_ln:srinivasan-18,Saraswathy Srinivasan,Unknown
fl:st_ln:soldin-1,Steven J. Soldin,Unknown
fl:yi_ln:tseng-6,Yi-Ling Tseng,Unknown
fl:yo_ln:matsuda-49,Yoshimoto Matsuda,Unknown
fl:ro_ln:soler-3,Robert R. Soler,Unknown
fl:hi_ln:ikeda-32,Hidetsugu Ikeda,Unknown
fl:nu_ln:rosly-1,Nur Amalina Rosly,Unknown
fl:su_ln:lee-78,Su Jin Lee,Unknown
fl:ta_ln:nara-5,Takashi Nara,Unknown
fl:fr_ln:weisenborn-1,Frank L. Weisenborn,Unknown
fl:th_ln:kaiser-5,Thomas Kaiser,Unknown
fl:br_ln:tockman-1,Bruce A. Tockman,Unknown
fl:ma_ln:baker-61,Martin C. Baker,Unknown
fl:ho_ln:simionescu-1,Horia Simionescu,Unknown
fl:ju_ln:koch-9,Juergen Koch,Unknown
fl:ko_ln:nose-4,Koichi Nose,Unknown
fl:ch_ln:li-853,Chao Li,Unknown
fl:er_ln:ruhrnschopf-1,Ernst-Peter Rührnschopf,Unknown
fl:wi_ln:bruls-8,Wilhelmus Hendrikus Alfonsus Bruls,Unknown
fl:al_ln:henderson-19,Alex E. Henderson,Unknown
fl:wa_ln:malkin-2,Wayne Allan Malkin,Unknown
fl:sh_ln:li-555,Shubo Li,Unknown
fl:hi_ln:watanabe-60,Hiroshi Watanabe,Unknown
fl:ha_ln:hsu-65,Hank Hsu,Unknown
fl:ro_ln:hurd-6,Robert J. Hurd,Unknown
fl:hi_ln:nagao-18,Hideki Nagao,Unknown
fl:na_ln:nagashima-3,Nao Nagashima,Unknown
